System,Planet,Region,xcoord,ycoord,wiki
,Pantolomin,Core,-37.227,44.441,http://starwars.wikia.com/wiki/Pantolomin
,Dachat,Core,-59.211,37.88,http://starwars.wikia.com/wiki/Dachat
,Voon,Core,-37.112,36.844,http://starwars.wikia.com/wiki/Voon
,Hyabb,Core,-46.78,31.204,http://starwars.wikia.com/wiki/Hyabb
,Farrfin,Core,-25.163,52.031,http://starwars.wikia.com/wiki/Farrfin
,Twith,Core,-28.501,42.593,http://starwars.wikia.com/wiki/Twith
Albarrio,Scipio,Outer Rim,-64.533,481.957,http://starwars.wikia.com/wiki/Scipio
,Galvoni,Core,-15.034,29.587,http://starwars.wikia.com/wiki/Galvoni
,Weerden,Core,-13.768,18.076,http://starwars.wikia.com/wiki/Weerden
,Tanjay,Core,-7.092,11.746,http://starwars.wikia.com/wiki/Tanjay
,Mamendin,Core,-9.279,58.707,http://starwars.wikia.com/wiki/Mamendin
,Tamban,Core,-95.23,-45.474,http://starwars.wikia.com/wiki/Tamban
,Aradia,Core,-90.281,-35,http://starwars.wikia.com/wiki/Aradia
,Cal-Seti,Core,-73.936,-34.194,http://starwars.wikia.com/wiki/Cal-Seti
,N'Zoth,Core,-95.69,-57.768,http://starwars.wikia.com/wiki/N'Zoth
,Fresia,Core,-58.167,-29.475,http://starwars.wikia.com/wiki/Fresia
,Galand,Core,-53.563,-23.72,http://starwars.wikia.com/wiki/Galand
,Alland,Core,-45.966,-14.397,http://starwars.wikia.com/wiki/Alland
,Worru'du,Core,-38.6,-17.85,http://starwars.wikia.com/wiki/Worru'du
,Salliche,Core,-25.709,-18.54,http://starwars.wikia.com/wiki/Salliche
,Norkronia,Core,-33.42,-6.829,http://starwars.wikia.com/wiki/Norkronia
,Stassia,Core,-13.278,-11.433,http://starwars.wikia.com/wiki/Stassia
,Foerost,Core,-41,-7.404,http://starwars.wikia.com/wiki/Foerost
,Ruan,Core,-41,-13.85,http://starwars.wikia.com/wiki/Ruan
,Galantos,Core,-94.577,-55.855,http://starwars.wikia.com/wiki/Galantos
,J't'p'tan,Core,-96.605,-56.56,http://starwars.wikia.com/wiki/J't'p'tan
,Botor,Core,-3.862,-270.404,http://starwars.wikia.com/wiki/Botor
,Thracior,Core,-11.976,-275.982,http://starwars.wikia.com/wiki/Thracior
,Thebeon,Core,-31.435,-299.213,http://starwars.wikia.com/wiki/Thebeon
,Gerrard,Core,-3.447,-295.268,http://starwars.wikia.com/wiki/Gerrard
,Daupherm,Core,-18.489,-267.033,http://starwars.wikia.com/wiki/Daupherm
,Loedorvia,Core,-87.534,-242.868,http://starwars.wikia.com/wiki/Loedorvia
,Cortina,Core,-60.163,-277.02,http://starwars.wikia.com/wiki/Cortina
,Abregado-rae,Core,-4.434,-316.721,http://starwars.wikia.com/wiki/Abregado-rae
,Dentaal,Core,-4.31,-325.845,http://starwars.wikia.com/wiki/Dentaal
,Belgaroth,Core,-11.955,-334.352,http://starwars.wikia.com/wiki/Belgaroth
,Steelious,Core,-18.612,-324.242,http://starwars.wikia.com/wiki/Steelious
,Cuvacia,Core,-93.206,-304.268,http://starwars.wikia.com/wiki/Cuvacia
,Illodia,Core,-73.016,-330.885,http://starwars.wikia.com/wiki/Illodia
,Kidiet Olgo,Core,5.338,61.419,http://starwars.wikia.com/wiki/Kidiet_Olgo
,Challon,Core,28.395,51.687,http://starwars.wikia.com/wiki/Challon
,Shawken,Core,28.654,44.953,http://starwars.wikia.com/wiki/Shawken
,Velusia,Core,6.986,35.889,http://starwars.wikia.com/wiki/Velusia
,Thorgeld,Core,12.235,29.369,http://starwars.wikia.com/wiki/Thorgeld
,Thokos,Core,06.02,17.132,http://starwars.wikia.com/wiki/Thokos
,Ralltiir,Core,74.426,43.836,http://starwars.wikia.com/wiki/Ralltiir
,Rhinnal,Core,69.362,41.073,http://starwars.wikia.com/wiki/Rhinnal
,Esseles,Core,64.988,38.311,http://starwars.wikia.com/wiki/Esseles
,Brentaal,Core,60.499,35.894,http://starwars.wikia.com/wiki/Brentaal
,Chandrila,Core,55.319,32.556,http://starwars.wikia.com/wiki/Chandrila
,Corulag,Core,49.679,29.563,http://starwars.wikia.com/wiki/Corulag
,Anaxes,Core,41.047,24.959,http://starwars.wikia.com/wiki/Anaxes
,Grizmallt,Core,28.386,17.708,http://starwars.wikia.com/wiki/Grizmallt
,Alsakan,Core,17.221,10.917,http://starwars.wikia.com/wiki/Alsakan
,Tepasi,Core,89.481,18.076,http://starwars.wikia.com/wiki/Tepasi
,Skako,Core,76.187,10.307,http://starwars.wikia.com/wiki/Skako
,Basilisk,Core,60.924,6.866,http://starwars.wikia.com/wiki/Basilisk
,Spira,Core,8.67,-16.777,http://starwars.wikia.com/wiki/Spira
,Yulant,Core,34.421,-16.249,http://starwars.wikia.com/wiki/Yulant
,Aargau,Core,40.205,-19.875,http://starwars.wikia.com/wiki/Aargau
,Broest,Core,65.326,-24.45,http://starwars.wikia.com/wiki/Broest
,Ixtlar,Core,37.098,-4.098,http://starwars.wikia.com/wiki/Ixtlar
,Vultar,Core,64.809,-5.306,http://starwars.wikia.com/wiki/Vultar
,Wukkar,Core,56.694,-12.471,http://starwars.wikia.com/wiki/Wukkar
,Kailor V,Core,69.125,-20.068,https://starwars.fandom.com/wiki/Kailor_V
,Palawa,Core,92.548,-15.205,http://starwars.wikia.com/wiki/Palawa
,Xorth,Core,82.506,-28.363,http://starwars.wikia.com/wiki/Xorth
,Gama,Core,83.707,-246.323,http://starwars.wikia.com/wiki/Gama
,Balosar,Core,67.596,-251.748,http://starwars.wikia.com/wiki/Balosar
,Lansono,Core,97.176,-277.948,http://starwars.wikia.com/wiki/Lansono
,Lujo,Core,49.337,-264.139,http://starwars.wikia.com/wiki/Lujo
,Shulxi,Core,61.79,-270.427,http://starwars.wikia.com/wiki/Shulxi
,Azbrian,Core,61.667,-284.606,http://starwars.wikia.com/wiki/Azbrian
,Thomork,Core,19.194,-266.62,http://starwars.wikia.com/wiki/Thomork
,Frego,Core,29.363,-306.429,http://starwars.wikia.com/wiki/Frego
,Iphigin,Core,44.899,-327.883,http://starwars.wikia.com/wiki/Iphigin
,Andara,Core,97.669,-315.8,http://starwars.wikia.com/wiki/Andara
,Eamus,Core,5.307,-304.268,http://starwars.wikia.com/wiki/Eamus
,Plexis,Core,8.759,-311.173,http://starwars.wikia.com/wiki/Plexis
,Diamal,Core,10.115,-342.49,http://starwars.wikia.com/wiki/Diamal
,Corann,Core,101.371,35.211,http://starwars.wikia.com/wiki/Corann
,Korfo,Core,106.703,8.252,http://starwars.wikia.com/wiki/Korfo
,Caamas,Core,113.696,7.086,http://starwars.wikia.com/wiki/Caamas
,Aldraig,Core,104.807,-19.867,http://starwars.wikia.com/wiki/Aldraig
,Alderaan,Core,129.496,-5.968,http://starwars.wikia.com/wiki/Alderaan
,Vuma,Core,112.651,-59.194,http://starwars.wikia.com/wiki/Vuma
,Ator,Core,107.472,-73.697,http://starwars.wikia.com/wiki/Ator
,Leria Kerlsil,Core,125.312,-83.136,http://starwars.wikia.com/wiki/Leria_Kerlsil
,Tyed Kant,Core,145.455,-23.628,http://starwars.wikia.com/wiki/Tyed_Kant
,Demophon,Core,119.327,-33.181,http://starwars.wikia.com/wiki/Demophon
,Glithnos,Core,126.463,-41.584,http://starwars.wikia.com/wiki/Glithnos
,Fedalle,Core,139.815,-54.475,http://starwars.wikia.com/wiki/Fedalle
,Raxxa,Core,166.864,-55.511,http://starwars.wikia.com/wiki/Raxxa
,Kuat,Core,186.813,-59.958,http://starwars.wikia.com/wiki/Kuat
,Talravin,Core,152.034,-74.474,http://starwars.wikia.com/wiki/Talravin
,Pria,Core,173.27,-83.711,http://starwars.wikia.com/wiki/Pria
,Ruul,Core,143.574,-97.005,http://starwars.wikia.com/wiki/Ruul_(planet)
,Sarapin,Core,160.062,-90.445,http://starwars.wikia.com/wiki/Sarapin
,Humbarine,Core,188.233,-99.94,http://starwars.wikia.com/wiki/Humbarine
,Trellen,Core,164.292,-100.458,http://starwars.wikia.com/wiki/Trellen
,Mawan,Core,168.781,-111.163,http://starwars.wikia.com/wiki/Mawan
,Seyugi,Core,187.312,-120.544,http://starwars.wikia.com/wiki/Seyugi
,Recopia,Core,152.782,-123.766,http://starwars.wikia.com/wiki/Recopia
,Loretto,Core,176.838,-132.629,http://starwars.wikia.com/wiki/Loretto
,Rendili,Core,163.716,-140.801,http://starwars.wikia.com/wiki/Rendili
,Perma,Core,134.711,-106.731,http://starwars.wikia.com/wiki/Perma
,Lolnar,Core,138.394,-117.551,http://starwars.wikia.com/wiki/Lolnar
,Columus,Core,133.33,-129.521,http://starwars.wikia.com/wiki/Columus
,Lettow,Core,126.726,-146.533,http://starwars.wikia.com/wiki/Lettow
,Rehemsa,Core,148.595,-151.022,http://starwars.wikia.com/wiki/Rehemsa
,Sedratis,Core,152.163,-162.187,http://starwars.wikia.com/wiki/Sedratis
,Baraboo,Core,181.111,-146.907,http://starwars.wikia.com/wiki/Baraboo
,Bellassa,Core,183.068,-152.777,http://starwars.wikia.com/wiki/Bellassa
,Jaciprus,Core,186.866,-166.244,http://starwars.wikia.com/wiki/Jaciprus
,Voktunma,Core,188.708,-172.345,http://starwars.wikia.com/wiki/Voktunma
,Samaria,Core,169.716,-169.237,http://starwars.wikia.com/wiki/Samaria
,Rydonni Prime,Core,155.098,-174.301,http://starwars.wikia.com/wiki/Rydonni_Prime
,Goorla,Core,154.523,-180.287,http://starwars.wikia.com/wiki/Goorla
,Sacorria,Core,151.875,-184.545,http://starwars.wikia.com/wiki/Sacorria
,Corellia,Core,157.553,-186.038,http://starwars.wikia.com/wiki/Corellia
,Duro,Core,157.102,-186.797,http://starwars.wikia.com/wiki/Duro
,Nubia,Core,157.609,-186.709,http://starwars.wikia.com/wiki/Nubia
,Karvoss,Core,117.243,-205.225,http://starwars.wikia.com/wiki/Karvoss
,Hemei,Core,103.763,-217.226,http://starwars.wikia.com/wiki/Hemei
,Chasin,Core,158.341,-249.447,http://starwars.wikia.com/wiki/Chasin
,Chamm,Core,105.407,-250.433,http://starwars.wikia.com/wiki/Chamm
,Shumogi,Core,114.284,-235.473,http://starwars.wikia.com/wiki/Shumogi
,Tinnel,Core,170.506,-213.445,http://starwars.wikia.com/wiki/Tinnel
,Condular,Core,151.108,-274.106,http://starwars.wikia.com/wiki/Condular
,Gandeal,Core,146.043,-283.287,http://starwars.wikia.com/wiki/Gandeal
,Danteel,Core,115.793,-261.304,http://starwars.wikia.com/wiki/Danteel
,Kobaria,Core,111.601,-265.126,http://starwars.wikia.com/wiki/Kobaria
,Sestria,Core,102.724,-304.827,http://starwars.wikia.com/wiki/Sestria
,Coruscant,Core,0,0,http://starwars.wikia.com/wiki/Coruscant
Ollonir Boundaries[,Thrantin,Colonies,-145.977,49.154,http://starwars.wikia.com/wiki/Thrantin
,Batorine,Colonies,-130.359,89.431,http://starwars.wikia.com/wiki/Batorine
,Phu,Colonies,-107.075,-374.057,http://starwars.wikia.com/wiki/Phu
,Trunska,Colonies,-115.624,-357.946,http://starwars.wikia.com/wiki/Trunska
,Candoria,Colonies,-127.789,-335.424,http://starwars.wikia.com/wiki/Candoria
,Hjaff,Colonies,-127.46,-304.683,http://starwars.wikia.com/wiki/Hjaff
,Sif-Uwana,Colonies,-67.725,111.459,http://starwars.wikia.com/wiki/Sif-Uwana
Fakir,Vakkar,Colonies,-94.686,97.157,http://starwars.wikia.com/wiki/Vakkar
,Palanhi,Colonies,-66.41,97.65,http://starwars.wikia.com/wiki/Palanhi
,Venjagga,Colonies,-53.259,66.087,http://starwars.wikia.com/wiki/Venjagga
,Ord Mirit,Colonies,-47.341,74.142,http://starwars.wikia.com/wiki/Ord_Mirit
,Borleias,Colonies,-41.258,63.128,http://starwars.wikia.com/wiki/Borleias
,Noquivzor,Colonies,-46.026,99.459,http://starwars.wikia.com/wiki/Noquivzor
,Ophideraan,Colonies,-11.234,-387.866,http://starwars.wikia.com/wiki/Ophideraan
,Whelori,Colonies,-28.66,-389.51,http://starwars.wikia.com/wiki/Whelori
,Vaykaaris,Colonies,-78.307,-384.742,http://starwars.wikia.com/wiki/Vaykaaris
,Zenox Cluster,Colonies,-74.197,-361.892,http://starwars.wikia.com/wiki/Zenox_Cluster
,Omar,Colonies,-53.483,-340.192,http://starwars.wikia.com/wiki/Omar
,Baradas,Colonies,08.06,115.569,http://starwars.wikia.com/wiki/Baradas
,Ord Antalaha,Colonies,24.951,102.007,http://starwars.wikia.com/wiki/Ord_Antalaha
,Nierport,Colonies,64.529,115.569,http://starwars.wikia.com/wiki/Nierport
,Uviuy Exen,Colonies,55.282,89.184,http://starwars.wikia.com/wiki/Uviuy_Exen
,Doldrums,Colonies,84.749,88.321,http://starwars.wikia.com/wiki/Doldrums
,Delle,Colonies,89.064,53.798,http://starwars.wikia.com/wiki/Delle
,Dankayo,Colonies,47.761,99.664,http://starwars.wikia.com/wiki/Dankayo
,Kiribi,Colonies,99.668,99.294,http://starwars.wikia.com/wiki/Kiribi
,Nara,Colonies,27.91,66.744,http://starwars.wikia.com/wiki/Nara
,Wakeelmui,Colonies,53.556,70.443,http://starwars.wikia.com/wiki/Wakeelmui
,Jatir,Colonies,92.961,40.536,http://starwars.wikia.com/wiki/Jatir
,Giju,Colonies,3.068,-354.823,http://starwars.wikia.com/wiki/Giju
,Cilpar,Colonies,1.26,-367.974,http://starwars.wikia.com/wiki/Cilpar
,Vindalia,Colonies,14.247,-348.576,http://starwars.wikia.com/wiki/Vindalia
,Fondor,Colonies,25.261,-369.618,http://starwars.wikia.com/wiki/Fondor
,Ghorman,Colonies,28.056,-397.729,http://starwars.wikia.com/wiki/Ghorman
,Mrlsst,Colonies,29.042,-376.851,http://starwars.wikia.com/wiki/Mrlsst
,Bassadro,Colonies,62.249,-374.221,http://starwars.wikia.com/wiki/Bassadro
,Teyr Vulvarch,Colonies,84.607,-380.961,http://starwars.wikia.com/wiki/Teyr_Vulvarch
,Laakteen Depot,Colonies,3.232,-379.482,http://starwars.wikia.com/wiki/Laakteen_Depot
,Arkania,Colonies,109.634,101.269,http://starwars.wikia.com/wiki/Arkania
,Kluistar,Colonies,104.631,109.1,http://starwars.wikia.com/wiki/Kluistar
,Raithal,Colonies,149.412,85.716,http://starwars.wikia.com/wiki/Raithal
,Castell,Colonies,139.529,80.255,http://starwars.wikia.com/wiki/Castell
,Shulstine,Colonies,133.755,77.81,http://starwars.wikia.com/wiki/Shulstine
,Ifmix,Colonies,120.96,71.932,http://starwars.wikia.com/wiki/Ifmix
,Yabol Opa,Colonies,109.256,64.858,http://starwars.wikia.com/wiki/Yabol_Opa
,Teardrop,Colonies,105.71,45.715,http://starwars.wikia.com/wiki/Teardrop
,Shelkonwa,Colonies,116.683,43.126,http://starwars.wikia.com/wiki/Shelkonwa
,Belnar,Colonies,129.012,62.113,http://starwars.wikia.com/wiki/Belnar
,Argai Minor,Colonies,140.972,52.496,http://starwars.wikia.com/wiki/Argai_Minor
,Carida,Colonies,151.698,59.277,http://starwars.wikia.com/wiki/Carida
,Dakshee,Colonies,153.671,50.893,http://starwars.wikia.com/wiki/Dakshee
,Hok,Colonies,176.727,38.194,http://starwars.wikia.com/wiki/Hok
,Grandine,Colonies,172.905,5.274,http://starwars.wikia.com/wiki/Grandine
,Parkis,Colonies,171.672,-24.07,http://starwars.wikia.com/wiki/Parkis
,Kattada,Colonies,191.03,-25.056,http://starwars.wikia.com/wiki/Kattada
,Neimoidia,Colonies,188.564,-59.984,http://starwars.wikia.com/wiki/Neimoidia
,Balmorra,Colonies,187.596,-58.187,http://starwars.wikia.com/wiki/Balmorra
,Exodeen,Colonies,198.674,-207.779,http://starwars.wikia.com/wiki/Exodeen
,Loronar,Colonies,184.248,-247.85,http://starwars.wikia.com/wiki/Loronar
,Byblos,Colonies,191.646,-264.125,http://starwars.wikia.com/wiki/Byblos
,Pencael,Colonies,198.674,-275.221,http://starwars.wikia.com/wiki/Pencael
,Arat Fraca,Colonies,178.207,-265.358,http://starwars.wikia.com/wiki/Arat_Fraca
,Motexx,Colonies,148.37,-322.813,http://starwars.wikia.com/wiki/Motexx
,Froswythe,Colonies,151.575,-332.677,http://starwars.wikia.com/wiki/Froswythe
,Enisca,Colonies,126.67,-334.403,http://starwars.wikia.com/wiki/Enisca
Kuluur,Kelada,Colonies,121.121,-353.267,http://starwars.wikia.com/wiki/Kelada
Duluur,Devaron,Colonies,120.382,-373.117,http://starwars.wikia.com/wiki/Devaron
,Belazura,Colonies,136.533,-308.388,http://starwars.wikia.com/wiki/Belazura
,Bryexx,Colonies,129.629,-325.279,http://starwars.wikia.com/wiki/Bryexx
,Sanjin,Colonies,114.073,-311.456,http://starwars.wikia.com/wiki/Sanjin
,Corroth,Colonies,206.318,34.249,http://starwars.wikia.com/wiki/Corroth
,Tibro,Colonies,207.304,23.152,http://starwars.wikia.com/wiki/Tibro
,Manwess,Colonies,215.688,12.549,http://starwars.wikia.com/wiki/Manwess
,Uquine,Colonies,206.195,-33.687,http://starwars.wikia.com/wiki/Uquine
,Resht,Colonies,226.908,-25.426,http://starwars.wikia.com/wiki/Resht
,Xobome,Colonies,234.059,-31.961,http://starwars.wikia.com/wiki/Xobome
,Foundry,Colonies,203.975,-74.991,http://starwars.wikia.com/wiki/Foundry
,Faro,Colonies,252.924,-71.415,http://starwars.wikia.com/wiki/Faro
,Commenor,Colonies,231.1,-98.293,http://starwars.wikia.com/wiki/Commenor
,Damoria,Colonies,221.977,-107.91,http://starwars.wikia.com/wiki/Damoria
,Chorax,Colonies,215.072,-116.541,http://starwars.wikia.com/wiki/Chorax
,Vladet,Colonies,214.456,-129.61,http://starwars.wikia.com/wiki/Vladet
,Cato Neimoidia,Colonies,216.305,-135.158,http://starwars.wikia.com/wiki/Cato_Neimoidia
,Hensara,Colonies,218.278,-140.953,http://starwars.wikia.com/wiki/Hensara
,Darek,Colonies,248.238,-147.488,http://starwars.wikia.com/wiki/Darek
,Talasea,Colonies,224.319,-155.872,http://starwars.wikia.com/wiki/Talasea
,Vanjervalis,Colonies,207.674,-193.107,http://starwars.wikia.com/wiki/Vanjervalis
,Lankashiir,Colonies,234.676,-192.614,http://starwars.wikia.com/wiki/Lankashiir
,Quellor,Colonies,234.799,-209.382,http://starwars.wikia.com/wiki/Quellor
,Boudolayz,Colonies,201.14,-212.957,http://starwars.wikia.com/wiki/Boudolayz
,Herzob,Colonies,203.236,-219.739,http://starwars.wikia.com/wiki/Herzob
,Besnia,Colonies,207.428,-231.205,http://starwars.wikia.com/wiki/Besnia
,Koensayr,Colonies,210.264,-241.315,http://starwars.wikia.com/wiki/Koensayr
,Aquilae,Colonies,215.195,-261.289,http://starwars.wikia.com/wiki/Aquilae
,Havricus,Colonies,209.894,-291.373,http://starwars.wikia.com/wiki/Havricus
Koradin,Virgillia,Outer Rim,-247.289,-872.609,http://starwars.wikia.com/wiki/Virgillia
Koradin,Lipsec,Outer Rim,-275.842,-866.091,http://starwars.wikia.com/wiki/Lipsec
Koradin,Coveway,Outer Rim,-226.339,-818.45,http://starwars.wikia.com/wiki/Coveway
Koradin,Sump,Outer Rim,-207.986,-891.331,http://starwars.wikia.com/wiki/Sump
Koradin,Abridon,Outer Rim,-133.386,-887.816,http://starwars.wikia.com/wiki/Abridon
Koradin,Keskin,Outer Rim,-163.801,-893.093,http://starwars.wikia.com/wiki/Keskin
Stensen,Trenwyth,Outer Rim,-285.213,-696.555,http://starwars.wikia.com/wiki/Trenwyth
Trilon,Gannaria,Outer Rim,-375.84,-544.684,http://starwars.wikia.com/wiki/Gannaria
Trilon,Zaddja,Outer Rim,-377.081,-514.889,http://starwars.wikia.com/wiki/Zaddja
Trilon,Rattatak,Outer Rim,-370.046,-608.826,http://starwars.wikia.com/wiki/Rattatak
Zuma,Abbaji,Outer Rim,-315.836,-682.899,http://starwars.wikia.com/wiki/Abbaji
Zuma,Firrerre,Outer Rim,-361.356,-655.173,http://starwars.wikia.com/wiki/Firrerre
Zuma,Houche,Outer Rim,-345.631,-627.034,http://starwars.wikia.com/wiki/Houche
Moddell,Annaj,Outer Rim,-329.842,-697.931,http://starwars.wikia.com/wiki/Annaj
Moddell,Endor,Outer Rim,-343.219,-683.025,http://starwars.wikia.com/wiki/Endor
Moddell,Ast Kikorie,Outer Rim,-347.7,-680.259,http://starwars.wikia.com/wiki/Ast_Kikorie
Moddell,Sanyassa,Outer Rim,-346.21,-685.71,http://starwars.wikia.com/wiki/Sanyassa
Moddell,Endor Gate,Outer Rim,-343.775,-683.326,http://starwars.wikia.com/wiki/Endor_Gate
Moddell,Murk,Outer Rim,-340.262,-684.49,http://starwars.wikia.com/wiki/Murk
Moddell,UR-3741,Outer Rim,-343.3,-678.625,http://starwars.wikia.com/wiki/UR-3741
Moddell,Zorbia,Outer Rim,-340.433,-678.422,http://starwars.wikia.com/wiki/Zorbia
Moddell,Din Pulsar,Outer Rim,-339.812,-682.986,http://starwars.wikia.com/wiki/Din_Pulsar
Moddell,UR-1060,Outer Rim,-338.578,-675.058,http://starwars.wikia.com/wiki/UR-1060
Moddell,UR-2650,Outer Rim,-335.562,-673.259,http://starwars.wikia.com/wiki/UR-2650
Moddell,UR-9353,Outer Rim,-332.81,-673.497,http://starwars.wikia.com/wiki/UR-9353
Moddell,UR-8827,Outer Rim,-334.424,-676.328,http://starwars.wikia.com/wiki/UR-8827
Moddell,Vex,Outer Rim,-329.512,-677.475,http://starwars.wikia.com/wiki/Vex
Moddell,Vasha,Outer Rim,-324.45,-676.037,http://starwars.wikia.com/wiki/Vasha
Moddell,Trindello,Outer Rim,-335.097,-682.185,http://starwars.wikia.com/wiki/Trindello
Moddell,Qina,Outer Rim,-329.444,-685.14,http://starwars.wikia.com/wiki/Qina
Moddell,Maya Kovel,Outer Rim,-322.714,-681.705,http://starwars.wikia.com/wiki/Maya_Kovel
Moddell,Kuna's Tail,Outer Rim,-342.801,-688.917,http://starwars.wikia.com/wiki/Kuna%27s_Tail
Moddell,Kuna's Horn,Outer Rim,-338.003,-688.873,http://starwars.wikia.com/wiki/Kuna%27s_Horn
Moddell,Kuna's Fist,Outer Rim,-338.929,-690.611,http://starwars.wikia.com/wiki/Kuna%27s_Fist
Moddell,Kuna's Eye,Outer Rim,-337.227,-693.362,http://starwars.wikia.com/wiki/Kuna%27s_Eye
Moddell,Kuna's Tooth,Outer Rim,-334.943,-691.396,http://starwars.wikia.com/wiki/Kuna%27s_Tooth
Moddell,Thonner,Outer Rim,-325.171,-689.05,http://starwars.wikia.com/wiki/Thonner
Moddell,Ovise,Outer Rim,-327.596,-694.288,http://starwars.wikia.com/wiki/Ovise
Bakura,Timora,Outer Rim,-403.979,-686.623,http://starwars.wikia.com/wiki/Timora
Pacanth Reach,Bunduki,Outer Rim,-375.012,-630.344,http://starwars.wikia.com/wiki/Bunduki
Bri'ahl,Lanteeb,Outer Rim,-254.738,-749.55,http://starwars.wikia.com/wiki/Lanteeb
Kallea,Imynusoph,Outer Rim,-105.409,-1.124.192,http://starwars.wikia.com/wiki/Imynusoph
Kallea,Terminus,Outer Rim,-72.459,-1.093.647,http://starwars.wikia.com/wiki/Terminus
Kallea,Delrakkin,Outer Rim,-51.277,-1.125.304,http://starwars.wikia.com/wiki/Delrakkin
Saijo,Cantros,Outer Rim,-151.033,-1.066.464,http://starwars.wikia.com/wiki/Cantros
Saijo,Faldos,Outer Rim,-94.107,-1.035.221,http://starwars.wikia.com/wiki/Faldos
